Sl. No.,density,hardness,,(xi-xbar),yi(xi-xbar),,(xi-xbar)2,,
1,24.7,484,,-1621.7,-784902.8,,2629910.89,,
2,24.8,427,,-1621.6,-692423.2,,2629586.56,,
3,27.3,413,,-1619.1,-668688.3,,2621484.81,,
4,28.4,517,,-1618,-836506,,2617924,,
5,28.4,549,,-1618,-888282,,2617924,,
6,29,648,,-1617.4,-1048075.2,,2615982.76,,
7,30.3,587,,-1616.1,-948650.7,,2611779.21,,
8,32.7,704,,-1613.7,-1136044.8,,2604027.69,,
9,35.6,979,,-1610.8,-1576973.2,,2594676.64,,
10,38.5,914,,-1607.9,-1469620.6,,2585342.41,,
11,38.8,1070,,-1607.6,-1720132,,2584377.76,,
12,39.3,1020,,-1607.1,-1639242,,2582770.41,,
13,39.4,1210,,-1607,-1944470,,2582449,,
14,39.9,989,,-1606.5,-1588828.5,,2580842.25,,
15,40.3,1160,,-1606.1,-1863076,,2579557.21,,
16,40.6,1010,,-1605.8,-1621858,,2578593.64,,
17,40.7,1100,,-1605.7,-1766270,,2578272.49,,
18,40.7,1130,,-1605.7,-1814441,,2578272.49,,
19,42.9,1270,,-1603.5,-2036445,,2571212.25,,
20,45.8,1180,,-1600.6,-1888708,,2561920.36,,
21,46.9,1400,,-1599.5,-2239300,,2558400.25,,
22,48.2,1760,,-1598.2,-2812832,,2554243.24,,
23,51.5,1710,,-1594.9,-2727279,,2543706.01,,
24,51.5,2010,,-1594.9,-3205749,,2543706.01,,
25,53.4,1880,,-1593,-2994840,,2537649,,
26,56,1980,,-1590.4,-3148992,,2529372.16,,
27,56.5,1820,,-1589.9,-2893618,,2527782.01,,
28,57.3,2020,,-1589.1,-3209982,,2525238.81,,
29,57.6,1980,,-1588.8,-3145824,,2524285.44,,
30,59.2,2310,,-1587.2,-3666432,,2519203.84,,
31,59.8,1940,,-1586.6,-3078004,,2517299.56,,
32,66,3260,,-1580.4,-5152104,,2497664.16,,
33,67.4,2700,,-1579,-4263300,,2493241,,
34,68.8,2890,,-1577.6,-4559264,,2488821.76,,
35,69.1,2740,,-1577.3,-4321802,,2487875.29,,
36,69.1,3140,,-1577.3,-4952722,,2487875.29,,
Average:,1646.4,52901,,Sxy=,-84305681.3,Sxx=,92243270.66,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,B1cap=,-0.913949394,
,,,,,,,B0cap=,54405.72628,(ybar-B1xbar)
